Imatest,2020.2.0, , CPIQ Dot Chart Analysis
File,dotpattern_example.png
Run date,23-Oct-2020 17:30:49,,Build 2020-09-30

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 94.570564, degrees,
VFOV, 82.102242, degrees,
DFOV, 108.975172, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 1.144420
CPIQ Quality Loss, 0.633132
Maximum LCA in Pixels, 1.430526
Number of Dots, 330

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, -319.621823, 116.186119, -318.980652, 115.957098, -320.013688, 116.325698 
, -319.196203, 174.035356, -318.553886, 173.689023, -319.587454, 174.247587 
, -317.885829, -288.887915, -317.252698, -288.312794, -318.273859, -289.238802 
, -318.596807, -231.629379, -317.957487, -231.166208, -318.988947, -231.908058 
, -318.596807, 231.629379, -317.957487, 231.166208, -318.988947, 231.908058 
, -317.885829, 288.887915, -317.252698, 288.312794, -318.273938, 289.238896 
, -317.073936, -345.765569, -316.441817, -345.079371, -317.459010, -346.185495 
, -317.073936, 345.765569, -316.441817, 345.079371, -317.459010, 346.185495 
, -316.193788, -402.279561, -315.566217, -401.478346, -316.575174, -402.766924 
, -316.193788, 402.279561, -315.566217, 401.478346, -316.574978, 402.767115 
, -261.896666, -174.531828, -261.369018, -174.182409, -262.218787, -174.743300 
, -262.265970, -116.524268, -261.738748, -116.294323, -262.589625, -116.666722 
, -262.500363, -58.311449, -261.969334, -58.200407, -262.825084, -58.381053 
, -262.581623, 0.000000, -262.052531, -0.000000, -262.905162, 0.000000 
, -262.500363, 58.311449, -261.969334, 58.200407, -262.825084, 58.381053 
, -262.265970, 116.524268, -261.738748, 116.294323, -262.589625, 116.666722 
, -261.896666, 174.531828, -261.369018, 174.182409, -262.218710, 174.743391 
, -260.744460, -289.607834, -260.223605, -289.026144, -261.062476, -289.958379 
, -261.365081, -232.237712, -260.840058, -231.771996, -261.686162, -232.520788 
, -261.365081, 232.237712, -260.840058, 231.771996, -261.686162, 232.520788 
, -260.744460, 289.607834, -260.223605, 289.026144, -261.062364, 289.958476 
, -260.028321, -346.566294, -259.510914, -345.877215, -260.344516, -346.989867 
, -260.028321, 346.566294, -259.510914, 345.877215, -260.344516, 346.989867 
, -259.244799, -403.128086, -258.729310, -402.323035, -259.555463, -403.616544 
, -259.244799, 403.128086, -258.729310, 402.323035, -259.555344, 403.616821 
, -204.673160, -58.458810, -204.258624, -58.342766, -204.927044, -58.527446 
, -204.739287, 0.000000, -204.325601, 0.000000, -204.991788, -0.000000 
, -204.673160, 58.458810, -204.258624, 58.342766, -204.927343, 58.527903 
, -203.753368, -232.784900, -203.344734, -232.314016, -204.000709, -233.067728 
, -204.160662, -174.938123, -203.750292, -174.587566, -204.413126, -175.150992 
, -204.479808, -116.800055, -204.065992, -116.566086, -204.731380, -116.943243 
, -204.479808, 116.800055, -204.065992, 116.566086, -204.731380, 116.943243 
, -204.160662, 174.938123, -203.750292, 174.587566, -204.413150, 175.151350 
, -203.753368, 232.784900, -203.344734, 232.314016, -204.000709, 233.067728 
, -203.222066, -290.225985, -202.818990, -289.641797, -203.470020, -290.580660 
, -203.222066, 290.225985, -202.818990, 289.641797, -203.470198, 290.580865 
, -202.001773, -403.855428, -201.601335, -403.051092, -202.243752, -404.347546 
, -202.644353, -347.265275, -202.241396, -346.569974, -202.890957, -347.687953 
, -202.644353, 347.265275, -202.241396, 346.569974, -202.890957, 347.687953 
, -202.001773, 403.855428, -201.601335, 403.051092, -202.243744, 404.347722 
, -145.794565, -233.174064, -145.502356, -232.706848, -145.972318, -233.462825 
, -146.097731, -175.258353, -145.802343, -174.905807, -146.277017, -175.473375 
, -146.331243, -117.023112, -146.036394, -116.786836, -146.511350, -117.165752 
, -146.472821, -58.572501, -146.176136, -58.457595, -146.653725, -58.641914 
, -146.521180, 0.000000, -146.224118, 0.000000, -146.699807, -0.000000 
, -146.472821, 58.572501, -146.176136, 58.457595, -146.653623, 58.642011 
, -146.331243, 117.023112, -146.036394, 116.786836, -146.511350, 117.165752 
, -146.097731, 175.258353, -145.802343, 174.905807, -146.277338, 175.473647 
, -145.794565, 233.174064, -145.502356, 232.706848, -145.972318, 233.462825 
, -144.964176, -347.806663, -144.676383, -347.108727, -145.141641, -348.232413 
, -145.408435, -290.716937, -145.120353, -290.132118, -145.586677, -291.073965 
, -145.408435, 290.716937, -145.120353, 290.132118, -145.586454, 291.074153 
, -144.964176, 347.806663, -144.676383, 347.108727, -145.141641, 348.232413 
, -144.493651, -404.436942, -144.207618, -403.627089, -144.665728, -404.928910 
, -144.493651, 404.436942, -144.207618, 403.627089, -144.665641, 404.929006 
, -87.913494, -117.175213, -87.736015, -116.941290, -88.021474, -117.319844 
, -88.003862, -58.642945, -87.828265, -58.528194, -88.111647, -58.714063 
, -88.031587, 0.000000, -87.852831, -0.000000, -88.141105, -0.000000 
, -88.003862, 58.642945, -87.828265, 58.528194, -88.111554, 58.714159 
, -87.913494, 117.175213, -87.736015, 116.941290, -88.021474, 117.319844 
, -87.074634, -348.180470, -86.904736, -347.481829, -87.179116, -348.606400 
, -87.347262, -291.054050, -87.173869, -290.467650, -87.452095, -291.410623 
, -87.589224, -233.464953, -87.413743, -232.991928, -87.695211, -233.752503 
, -87.769942, -175.483138, -87.594282, -175.127676, -87.877205, -175.699014 
, -87.769942, 175.483138, -87.594282, 175.127676, -87.877110, 175.699103 
, -87.589224, 233.464953, -87.413743, 232.991928, -87.695211, 233.752503 
, -87.347262, 291.054050, -87.173869, 290.467650, -87.452095, 291.410623 
, -87.074634, 348.180470, -86.904736, 347.481829, -87.179116, 348.606400 
, -86.778035, -404.830503, -86.608426, -404.021156, -86.883699, -405.324066 
, -86.778035, 404.830503, -86.608426, 404.021156, -86.883810, 405.324153 
, -28.939965, -405.039100, -28.885585, -404.226589, -28.975151, -405.531836 
, -29.039867, -348.369007, -28.987148, -347.671025, -29.074889, -348.794331 
, -29.131655, -291.217252, -29.076377, -290.630296, -29.166395, -291.576131 
, -29.210945, -233.610273, -29.156274, -233.137868, -29.245907, -233.899065 
, -29.273509, -175.596154, -29.218005, -175.240410, -29.310731, -175.812257 
, -29.321196, -117.251144, -29.265540, -117.016025, -29.355865, -117.395443 
, -29.349071, -58.678577, -29.291466, -58.564176, -29.385878, -58.750400 
, -29.359378, -0.000000, -29.302947, 0.000000, -29.394355, 0.000000 
, -29.349071, 58.678577, -29.291466, 58.564176, -29.385878, 58.750400 
, -29.321196, 117.251144, -29.265540, 117.016025, -29.355865, 117.395443 
, -29.273509, 175.596154, -29.218005, 175.240410, -29.310643, 175.812348 
, -29.210945, 233.610273, -29.156274, 233.137868, -29.245907, 233.899065 
