Imatest,2020.2.0,,Star
File,star_example.jpg
Run date,30-Oct-2020 19:53:19,,Build 2020-09-30

Image pixels (WxH),3888,2592
Crop,783,719
L R T B, 2305,3087,922,1640
pixels/in,0
pixels/mm,0
um/pixel,0
Color channel, Y
Gamma, 0.5, (input), used
Gamma, 0.453, (chart calc.), not used
Max detected f (c/p), 0.628
Segments to analyze, 8
Star type, Full circle
MTF30,0.351 Cy/Pxl,Secondary readout

MTF unsmoothed for 64 radii
N,Radius, f (C/P), Mean, Seg 1, Seg 2, Seg 3, Seg 4, Seg 5, Seg 6, Seg 7, Seg 8
73,  0.4720,  0.0208,  0.0108,  0.0252,  0.0121,  0.0361,  0.0109,  0.0241,  0.0094,  0.0377
75,  0.4831,  0.0173,  0.0122,  0.0197,  0.0096,  0.0302,  0.0065,  0.0213,  0.0078,  0.0315
77,  0.4943,  0.0133,  0.0124,  0.0140,  0.0079,  0.0198,  0.0067,  0.0175,  0.0061,  0.0223
79,  0.5055,  0.0098,  0.0103,  0.0080,  0.0062,  0.0121,  0.0071,  0.0133,  0.0053,  0.0162
81,  0.5166,  0.0082,  0.0081,  0.0042,  0.0053,  0.0122,  0.0069,  0.0099,  0.0048,  0.0143
83,  0.5278,  0.0079,  0.0070,  0.0039,  0.0049,  0.0156,  0.0068,  0.0071,  0.0039,  0.0138
85,  0.5390,  0.0070,  0.0059,  0.0054,  0.0038,  0.0151,  0.0068,  0.0043,  0.0029,  0.0116
87,  0.5501,  0.0057,  0.0045,  0.0058,  0.0027,  0.0113,  0.0069,  0.0025,  0.0027,  0.0087
89,  0.5613,  0.0050,  0.0038,  0.0043,  0.0031,  0.0082,  0.0075,  0.0024,  0.0034,  0.0067
91,  0.5724,  0.0054,  0.0049,  0.0034,  0.0047,  0.0079,  0.0089,  0.0035,  0.0038,  0.0058
93,  0.5836,  0.0063,  0.0072,  0.0040,  0.0064,  0.0085,  0.0105,  0.0044,  0.0035,  0.0053
95,  0.5948,  0.0064,  0.0085,  0.0053,  0.0072,  0.0070,  0.0108,  0.0043,  0.0031,  0.0047
97,  0.6059,  0.0059,  0.0085,  0.0062,  0.0065,  0.0042,  0.0096,  0.0044,  0.0030,  0.0042
99,  0.6171,  0.0054,  0.0081,  0.0064,  0.0048,  0.0026,  0.0076,  0.0058,  0.0032,  0.0045
101,  0.6283,  0.0052,  0.0078,  0.0061,  0.0032,  0.0022,  0.0057,  0.0077,  0.0035,  0.0051

MTFnn and MTFnnP
Seg,MTF70,MTF70P,MTF50,MTF50P,MTF30,MTF30P,MTF20,MTF20P,MTF10,MTF10P
Mean,  0.275,  0.275,  0.313,  0.313,  0.351,  0.351,  0.376,  0.376,  0.410,  0.410
1,  0.306,  0.306,  0.345,  0.345,  0.380,  0.380,  0.398,  0.398,  0.419,  0.419
2,  0.243,  0.243,  0.281,  0.281,  0.319,  0.319,  0.337,  0.337,  0.383,  0.383
3,  0.285,  0.284,  0.315,  0.315,  0.351,  0.351,  0.371,  0.371,  0.398,  0.398
4,  0.275,  0.275,  0.310,  0.310,  0.342,  0.342,  0.366,  0.366,  0.414,  0.414
5,  0.301,  0.301,  0.347,  0.347,  0.381,  0.381,  0.401,  0.401,  0.424,  0.424
6,  0.245,  0.245,  0.285,  0.285,  0.324,  0.324,  0.344,  0.344,  0.393,  0.393
7,  0.284,  0.283,  0.316,  0.315,  0.348,  0.348,  0.370,  0.370,  0.399,  0.399
8,  0.277,  0.277,  0.310,  0.310,  0.350,  0.350,  0.370,  0.370,  0.407,  0.407

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
    5,100.00,  1.11
    6,100.00,  1.11
    7,100.00,  1.10
    8,100.00,  1.10
    9,100.00,  1.09
   10,100.00,  1.09
   11,100.00,  1.09
   12,100.00,  1.08
   13,100.00,  1.08
   14,100.00,  1.08
   15,100.00,  1.07
   16,100.00,  1.07
   17,100.00,  1.07
   18,100.00,  1.06
   19,100.00,  1.06
   20,100.00,  1.06
   21,100.00,  1.05
   22,100.00,  1.05
   23,100.00,  1.05
   24,100.00,  1.05
   25,100.00,  1.04
   26,100.00,  1.04
   27,100.00,  1.04
   28,100.00,  1.03
   29,100.00,  1.03
   30,100.00,  1.03
   31,100.00,  1.02
   32,100.00,  1.02
   33,100.00,  1.02
   34,100.00,  1.02
   35,100.00,  1.01
   36,100.00,  1.01
   37,100.00,  1.01
   38,100.00,  1.00
   39,100.00,  1.00
   40,100.00,  1.00
   41,100.00,  0.99
   42,100.00,  0.99
   43,100.00,  0.99
   44,100.00,  0.98
   45,100.00,  0.98
   46,100.00,  0.98
   47,100.00,  0.97
   48,100.00,  0.97
   49,100.00,  0.97
   50,100.00,  0.96
   51,100.00,  0.96
   52,100.00,  0.96
   53,100.00,  0.95
   54,100.00,  0.95
   55,100.00,  0.94
   56,100.00,  0.94
   57,100.00,  0.94
   58,100.00,  0.93
   59,100.00,  0.93
   60,100.00,  0.92
   61,100.00,  0.92
   62,100.00,  0.92
   63,100.00,  0.91
   64,100.00,  0.91
   65,100.00,  0.90
   66,100.00,  0.90
   67,100.00,  0.90
   68,100.00,  0.89
   69,100.00,  0.89
   70,100.00,  0.88
   71,100.00,  0.88
   72,100.00,  0.88
   73,100.00,  0.87
   74,100.00,  0.87
   75,100.00,  0.86
   76,100.00,  0.86
   77,100.00,  0.85
   78,100.00,  0.85
   79,100.00,  0.85
   80,100.00,  0.84
   81,100.00,  0.84
   82,100.00,  0.83
   83,100.00,  0.83
   84,100.00,  0.82
   85,100.00,  0.82
   86,100.00,  0.82
   87,100.00,  0.81
   88,100.00,  0.81
   89,100.00,  0.80
   90,100.00,  0.80
   91,100.00,  0.79
   92,100.00,  0.79
   93,100.00,  0.78
   94,100.00,  0.78
   95,100.00,  0.78
   96,100.00,  0.77
   97,100.00,  0.77
   98,100.00,  0.76
   99,100.00,  0.76
  100,100.00,  0.76
Use unnormalized MTF for Acutance calculation

Exif data
File Modification Date/Time     , 2020:10:01 05:25:34+03:00
Make                            , Canon
Camera Model Name               , Canon EOS 40D
Orientation                     , Horizontal (normal)
Exposure Time                   , 1/6
F Number                        , 5.6
ISO                             , 100
Flash                           , Off, Did not fire
Focal Length                    , 50.0 mm
Focus Mode                      , One-shot AF
Lens Type                       , Canon EF-S 17-85mm f/4-5.6 IS USM or Tokina Lens
Max Aperture                    , 5.4
Exposure Compensation           , +2/3
White Balance                   , Auto
Color Space                     , sRGB
Image Width                     , 3888
Image Height                    , 2592
Field Of View                   , 25.1 deg
Lens                            , 17.0 - 85.0 mm (35 mm equivalent: 27.5 - 137.6 mm)
Light Value                     , 7.6
